Unnamed: 0,name,description,picture_url,host_since,host_response_time,host_is_superhost,host_listings_count,host_identity_verified,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
10,"Panorámica mansarda ""Nogaiole""","mansarda peculiare rivestita di legno con vista panoramica a sud con sfondo le Dolomti del Brenta,su due piani con zona giorno,bagno e due camere The space Posizione Guest access Wi-fi gratis Other things to note una camera con letto matrimoniale e l' altra con letto a castello quindi adatto solamente per 3 adulti + 1 ragazzo",https://a0.muscache.com/pictures/159e2d67-9be3-4f49-b2a3-cbfe62f6c117.jpg,2013-11-30,within an hour,f,12.0,t,Entire home/apt,4,1 bath,2.0,1.0,"[""Washer"", ""Essentials"", ""Security cameras on property"", ""Free parking on premises"", ""Long term stays allowed"", ""Heating"", ""Fire extinguisher"", ""Wifi"", ""Dishes and silverware"", ""Hair dryer"", ""TV"", ""Smoke alarm"", ""Kitchen"", ""Cooking basics"", ""Stove"", ""Free street parking"", ""Microwave"", ""Refrigerator"", ""Hot water""]",$23.00,22,11,4.36,4.27,4.45,4.73,4.55,4.91,4.82,f
11,MBM Sport Apartments 22 Riva d/G 022153-AT-603521,"MBM Sport Apartments offre un alloggio situato a Riva del Garda che può essere usato come punto di riferimento per delle vacanze, sia nel periodo estivo che in quello invernale, all'insegna dello sport, della cultura, del relax e del benessere, grazie alla vicinanza del Lago di Garda, alle città di Trento, Rovereto e rinomate località sciistiche. Tra lago e montagna è sicuramente possibile dedicarsi a diverse attività sportive come la mountain bike o il windsurfing. The space Situato all'interno di un condominio al secondo piano di circa 48 metri quadri, dispone di sala/cucina, camera da letto, bagno, aria condizionata e un ampio terrazzo. Può ospitare fino a quattro persone, due delle quali su divano letto. Totalmente rinnovato, adatto a coppie, famiglie anche con bambini piccoli, a gruppi di amici e sportivi. Situato in una zona tranquilla a due passi dal Lago e a 15 minuti a piedi dal centro di Riva del Garda, con i principali servizi (presso il Centro ",https://a0.muscache.com/pictures/3c41a083-40d8-4000-8c30-503532c06ce6.jpg,2017-08-15,within an hour,t,2.0,t,Entire home/apt,4,1 bath,1.0,2.0,"[""Con freezer  refrigerator"", ""Long term stays allowed"", ""Wifi"", ""Stainless steel gas stove"", ""Hair dryer"", ""Crib"", ""Free parking garage on premises \u2013 1 space"", ""Clothing storage: closet"", ""AC - split type ductless system"", ""Private entrance"", ""Outdoor furniture"", ""Cleaning products"", ""Private patio or balcony"", ""Free washer \u2013 In unit"", ""Bed linens"", ""Security cameras on property"", ""Coffee maker"", ""Cooking basics"", ""Dining table"", ""Heating - split type ductless system"", ""Bathtub"", ""HDTV"", ""Bidet"", ""Drying rack for clothing"", ""Hot water"", ""Wine glasses"", ""Essentials"", ""Dishes and silverware"", ""Kitchen"", ""Central heating"", ""Microwave"", ""Standalone high chair"", ""Hangers""]",$104.00,74,36,4.92,4.89,5.0,5.0,4.89,4.56,4.72,t
12,B&B ANNA: Camera doppia tra Trento e Bolzano!,"Il b&b Anna si trova in Trentino, a Roverè della luna,un tranquillo borgo tra Trento e Bolzano nel cuore della piana Rotaliana. Per la sua posizione geografica strategica è possibile raggiungere in poco tempo le principali città: Trento, Bolzano,Merano. Inoltre percorrendo solo pochi km di auto si possono visitare le attrazioni più importanti: il lago di Molveno, il lago di Caldaro, i bellissimi e maestosi castelli della Val di Non, anche l’Altipiano della Paganella per chi ama la montagna. The space La camera accogliente, arredata in stile montano affaccia sul giardino. È dotata di TV a schermo piatto e bagno privato. C'è una sala comune dove è possibile fare colazione,consumare un buon pasto caldo dopo un'intera giornata se non si ha voglia di uscire a cena. Gli ospiti possono rilassarsi in sala bevendo un buon bicchiere di vino della zona o fermarsi a leggere un libro,infatti stiamo allestendo una picola libreria in sala. È possi",https://a0.muscache.com/pictures/miso/Hosting-44348256/original/cabb2592-72e3-47d9-a8a8-1300783fcae0.jpeg,2020-07-18,within an hour,f,4.0,t,Private room,2,1 private bath,1.0,1.0,"[""Long term stays allowed"", ""Heating"", ""Body soap"", ""Wifi"", ""Laundromat nearby"", ""Outdoor dining area"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Crib"", ""Free street parking"", ""Clothing storage: dresser and closet"", ""Iron"", ""Freezer"", ""Toaster"", ""Smoke alarm"", ""Children\u2019s books and toys"", ""Free parking on premises"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Cleaning products"", ""Ethernet connection"", ""Paid washer \u2013 In building"", ""Bed linens"", ""Host greets you"", ""Coffee maker"", ""Breakfast"", ""Shared patio or balcony"", ""TV"", ""High chair"", ""Luggage dropoff allowed"", ""Dining table"", ""First aid kit"", ""Room-darkening shades"", ""Drying rack for clothing"", ""Refrigerator"", ""Hot water"", ""Board games"", ""Portable fans"", ""Essentials"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Shower gel"", ""Microwave"", ""Hangers""]",$46.00,46,58,4.66,4.6,4.67,4.83,4.83,4.38,4.62,f
13,Appartamento Bellavista,"L’appartamento si trova in un contesto residenziale, all’interno di una palazzina signorile; è composto da una zona giorno molto ampia e luminosa, dotata di spazioso balcone, due camere da letto di cui una matrimoniale, e un bagno. All’esterno, nel cortile interno della casa è presente un posto auto custodito. Adiacente alla palazzina si trova un supermercato e il palazzetto dello sport, con campi da tennis, da basket, da beach volley, una palestra.. è il centro della vita del paese. Other things to note Lenzuola non in dotazione. Diamo la possibilità di noleggiarle tramite l’agenzia di pulizie cui ci affidiamo per l’igienizzazione della casa, per 20€ a persona.",https://a0.muscache.com/pictures/f229e848-0742-4793-b5b4-7d4a81379712.jpg,2019-03-27,within a day,f,1.0,t,Entire home/apt,6,1 bath,2.0,5.0,"[""Long term stays allowed"", ""Free parking on premises"", ""Heating"", ""Dishes and silverware"", ""Hair dryer"", ""TV"", ""Backyard"", ""Kitchen"", ""Cooking basics"", ""Oven"", ""Extra pillows and blankets"", ""Dishwasher"", ""Free street parking"", ""Iron"", ""Microwave"", ""Refrigerator"", ""Hot water"", ""Hangers""]",$194.00,85,2,4.5,5.0,4.5,5.0,5.0,5.0,5.0,f
14,"Boutique Apt with a view on Dolomites, ski in-out!","Brand new boutique Apt, completely renewed in natural wood. It is located in Campo Carlo Magno 2km away from Madonna di Campiglio and only 50mt from fantastic slopes and connections to the entire resort. Priceless ski-in and ski-out experience. Close to the apt (30 mt) you will find: food market, ski school, coffee shop, wellness center, public bus. There are a few tipical restaurants at walking distance (we suggest ""Casa De Campo"" and malga ""Zeledria""). We speak both italian and english. Other things to note Private ski depot and laundry room at ground floor, apt is on the 4th floor - there is no lift. Bed sheets, towels, soft duvets and pillows are supplied. Beds size: 1) 160*190cm 2) 140*190cm 3) 80*190 cm",https://a0.muscache.com/pictures/123bd1dc-a1a6-456f-b3d3-d805ef8b1466.jpg,2014-05-16,within a few hours,f,1.0,t,Entire home/apt,5,2 baths,2.0,4.0,"[""Long term stays allowed"", ""Heating"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Nespresso machine"", ""Free parking on premises"", ""Ethernet connection"", ""Private patio or balcony"", ""Stove"", ""Washer"", ""Bed linens"", ""Coffee maker"", ""TV"", ""Backyard"", ""Cooking basics"", ""Ski-in/Ski-out"", ""Refrigerator"", ""Hot water"", ""Essentials"", ""Dishes and silverware"", ""Kitchen"", ""Dryer"", ""Hangers""]",$89.00,82,29,4.79,4.83,4.72,4.79,4.97,4.76,4.66,t
15,"appartamento ""la barberina"", il lago a pochi passi","appartamento molto ampio e indipendente, luminoso, termoautonomo, si trova a Calceranica al lago, vicino ad un supermercato, un pane e latte, un bar e un tabacchino. Il lago e' raggiungibile a piedi in pochi minuti Other things to note l'appartamento si trova al secondo piano, non c'e' ascensore",https://a0.muscache.com/pictures/9c5e81b8-6134-42d4-b44d-b3ba481c83fa.jpg,2019-08-13,within an hour,f,1.0,t,Entire home/apt,6,2 baths,3.0,6.0,"[""Essentials"", ""Private entrance"", ""Free parking on premises"", ""Heating"", ""Wifi"", ""Dishes and silverware"", ""Host greets you"", ""Hair dryer"", ""TV"", ""Crib"", ""Kitchen"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Oven"", ""Patio or balcony"", ""Stove"", ""Refrigerator"", ""Hangers""]",$110.00,0,6,5.0,5.0,5.0,5.0,5.0,5.0,4.83,t
16,Logge dei Paroloti Agnese,"CIPAT code: 022231-AT-839195 House restored in 2020, mainly with green building products and attention to the recovery of existing materials, with treatment and care of wooden artefacts. At the Logge dei Paroloti you can live in tranquillity, with a view over the village of Dorsino, admiring the mountain panorama both from the covered loggia and from the garden, equipped and paved. Other things to note The loggia and garden are shared by guests to relax and enjoy the spaces and information points for the opportunities and experiences available in the area. On the ground floor there is a reading and TV room, extra flats, with the library created by the economic stove: an open space for reading and information (TV, maps and QrCode). The stove is in the same location and original room: Uncle Fiore's kitchen that lived in the family home until 2006. The structure is characterised by ""barrel vaults"" on both floors, with thick walls, accessories an",https://a0.muscache.com/pictures/prohost-api/Hosting-49513022/original/af203615-e88e-4285-a752-841e6b3ecc41.jpeg,2018-07-27,within an hour,f,624.0,t,Entire home/apt,4,1 bath,1.0,2.0,"[""Long term stays allowed"", ""Heating"", ""Wifi"", ""Hair dryer"", ""Crib"", ""Oven"", ""Free street parking"", ""Iron"", ""Freezer"", ""Free parking on premises"", ""Stove"", ""Bed linens"", ""Washer"", ""Elevator"", ""Hot water kettle"", ""Coffee maker"", ""TV"", ""High chair"", ""Backyard"", ""Cooking basics"", ""Patio or balcony"", ""Dishwasher"", ""Refrigerator"", ""Board games"", ""Essentials"", ""Dishes and silverware"", ""Kitchen"", ""Breakfast"", ""Microwave""]",$95.00,89,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t
17,Arco - Riva del Garda - WiFi,"Don't miss our new flat!!! www.airbnb.it/rooms/5313325 The space In the beautiful, green and picturesque town of Arco in northern Italy in the province of Trentino, just 7 km from the most beautiful natural creation of Lake Garda, one-bedroom apartments are dealt with all amenities. Apartments 42 square meters. m include room, kitchen, shared bathroom. The room has two beds, sofa, dining table and a small closet. The kitchen is fully equipped. Shower. Very pretty and spacious apartment. Now separate the region of Trentino - one of the most beautiful regions of Italy, located in the north, our little town of Arco, lost among the mountains and olive groves. Pearl of the region is, of course, Lake Garda. It is incredibly beautiful. I believe that everyone in their life should see the beauty of the lake and the lakeside towns of Riva del Garda, Lazise, Limone, Malcesine. Their color is not just words. Here you can find a lot of castles, ancient Roman buildings",https://a0.muscache.com/pictures/d605721c-0379-4321-9c2e-063210e38fc7.jpg,2013-03-27,within an hour,f,1.0,t,Entire home/apt,4,1 bath,1.0,2.0,"[""Washer"", ""Essentials"", ""Long term stays allowed"", ""Private entrance"", ""Free parking on premises"", ""Heating"", ""Wifi"", ""Dishes and silverware"", ""Lake access"", ""TV with standard cable"", ""Kitchen"", ""Cooking basics"", ""Air conditioning"", ""Oven"", ""Free street parking"", ""Smart lock"", ""Hot water"", ""Cable TV"", ""Hangers""]",$80.00,15,168,4.78,4.83,4.86,4.91,4.92,4.66,4.77,f
18,Appartamento Aloch,"The comfortable apartment Aloch is located in the village of San Giovanni di Fassa and boasts an impressive view over the mountains. The apartment has a living room, a kitchen with a dishwasher, 2 bedrooms (one with a double bed and one with a single bed) and a bathroom and can therefore accommodate 5 people. Additional amenities include Wi-Fi, a washing machine and a television. A cot and a high chair are also available. Other things to note Start your day with a cup of coffee on your balcony or the shared terrace and enjoy the impressive view. The nearest restaurant and bar are 4 minutes away by foot or one minute away by car (300 m). You can do your shopping in the supermarket which is 3 minutes away by foot or one minute away by car (290 m). A ski and bicycle rental is located within 2 minutes walking distance or one minute by car (170 m). The amusement park ""Bimbo Neve"" for children is a 5-minute drive (1,8 km) away. A bus stop for the ski bus and the ski sl",https://a0.muscache.com/pictures/27d7cc34-2ca8-4064-afbf-159d9532a627.jpg,2018-07-27,within an hour,f,413.0,t,Entire home/apt,5,1 bath,2.0,3.0,"[""Washer"", ""Essentials"", ""Bed linens"", ""Free parking on premises"", ""Long term stays allowed"", ""Heating"", ""Wifi"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""TV"", ""High chair"", ""Kitchen"", ""Patio or balcony"", ""Dishwasher"", ""Stove"", ""Free street parking"", ""Freezer"", ""Refrigerator""]",$71.00,89,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t
19,Villa Lackas for 5 persons,"Note: You can directly book the best price if your travel dates are available, all discounts are already included. In the following house description you will find all information about our listing. 3-room semi-detached house 60 m2. Practical furnishings: living/sleeping room with 1 sofabed, dining table, satellite TV and heating stove. 2 rooms, each room with 2 beds. Kitchenette (oven, 4 gas rings, electric coffee machine). Shower/WC. Heating not available in all rooms. Terrace partl... The space ...y roofed, garden. Terrace furniture, deck chairs (2). View of the lake. Facilities: children's high chair. Please note: non-smokers only. Maximum 1 pet/ dog allowed.  Additional service charges may have to be paid locally on-site, see house rules and house manual for details. Please don't hesitate to contact us should you have any questions. Thank you. Semi-detached house ""Villa Lackas"". In the district of Vesta 8 km from the centre of ",https://a0.muscache.com/pictures/prohost-api/Hosting-18988658/original/e7818e9a-3ef3-4a1b-a77b-76f82a02abbc.jpeg,2017-05-19,within an hour,f,133.0,t,Entire home/apt,5,1 bath,2.0,5.0,"[""Long term stays allowed"", ""Private entrance"", ""TV"", ""Kitchen"", ""Oven"", ""Hangers""]",$15.00,1,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t
20,"2 bedrooms and 3 bathrooms, 4/6 pers. Val di Fassa","Hello! We are Adriano and Natalia and we will be happy to meet you, your family and friends and even your pet and to host you all together in our guesthouse “Residence La Roggia”. Welcome to the Alps! Your home for your holiday in the Dolomites is tidy and clean. It is located in the center of Val di Fassa and is very convenient for your breathtaking summer hiking ortrekking in the mountains, panoramic walks, the most beautiful skiing on perfect alpine slopes and spectacular mountain bike rides. The space Our 8 apartments will let you have the freedom to live your holiday in the mountains as you like, they guarantee you privacy and the comfort of a real home where there is space for everyone, even for your suitcases. Here you will have a genuine contact with Val di Fassa and will experience the life like the real locals. And we will be at your disposal to advise you the best places to visit and to suggest you the activities to do. The 3-room apar",https://a0.muscache.com/pictures/miso/Hosting-34471070/original/437fa002-26dd-4a99-b3a6-9b0812b206af.jpeg,2014-01-21,within an hour,t,8.0,t,Entire home/apt,6,3 baths,2.0,3.0,"[""Washer"", ""Elevator"", ""Private entrance"", ""Free parking on premises"", ""Heating"", ""Fire extinguisher"", ""Shampoo"", ""Wifi"", ""Hair dryer"", ""TV"", ""Kitchen"", ""Iron"", ""Hangers""]",$86.00,26,1,5.0,5.0,5.0,5.0,5.0,4.0,5.0,t
21,Casa Oreadi. Comodità alpina,"Cozy, bright apartment, fully renovated with exposed wooden beams. The space The well-kept and comfortable apartment is located on the 1st floor of a traditional-style house adjacent to the park. The living area, with open kitchen equipped with everything you need (crockery, pots, coffee machine, dishwasher and oven, etc.), TV and double sofa bed (W. 140), has a balcony overlooking the garden. The room has a double bed, a wardrobe and a small desk. The bathroom has a shower, bidet and hairdryer. The apartment is equipped with WiFi internet access, bed linen and towels. A wash-machine / dryer is available to guests, as well as it is always possible to store bicycles or skis in the cellar. A cot for babies / children is also available on request. Location and surroundings Located in the lovely village of Sopramonte, in the suburbs of Trento at 600 meters above sea level. The neighborhood combines the beauty of a traditional ",https://a0.muscache.com/pictures/miso/Hosting-50729138/original/48289c98-5dab-42cb-ade0-c7301d57ca6e.jpeg,2014-02-12,within a few hours,f,1.0,t,Entire home/apt,4,1 bath,1.0,2.0,"[""Wifi"", ""Pour-over coffee"", ""Hair dryer"", ""Baking sheet"", ""Free washer \u2013 In building"", ""Radiant heating"", ""Oven"", ""Free street parking"", ""Iron"", ""Freezer"", ""Induction stove"", ""Toaster"", ""Crib - available upon request"", ""Clothing storage: closet"", ""Outdoor furniture"", ""Cleaning products"", ""Ethernet connection"", ""Private patio or balcony"", ""Host greets you"", ""Free dryer \u2013 In building"", ""Hot water kettle"", ""Coffee maker"", ""TV"", ""Backyard"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Dining table"", ""First aid kit"", ""Dishwasher"", ""Bidet"", ""Drying rack for clothing"", ""Refrigerator"", ""Hot water"", ""Essentials"", ""Children\u2019s books and toys for ages 0-2 years old and 2-5 years old"", ""Dishes and silverware"", ""Kitchen"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Children\u2019s dinnerware"", ""Hangers""]",$77.00,15,11,5.0,5.0,5.0,5.0,5.0,5.0,4.91,f
22,The Lake House," The space Unique apartment, direct access to the beach from the large garden below. Bright and comfortable living area, both rooms overlooking the lake and ancient dolomites. 6 Total beds: 1° bedroom: double bed 2°bedroom: two single beds Living room: double sofa bed. Large balcony. Independent access. Numerous sports and cultural itineraries in the area, in both summer and winter. Complementary bottle of local wine on arrival.",https://a0.muscache.com/pictures/109666897/352164dc_original.jpg,2015-09-30,within a few hours,t,1.0,t,Entire home/apt,6,1 bath,2.0,3.0,"[""Long term stays allowed"", ""Heating"", ""Hair dryer"", ""Oven"", ""Free street parking"", ""Shampoo"", ""Private patio or balcony"", ""Stove"", ""Indoor fireplace"", ""Washer"", ""Host greets you"", ""Coffee maker"", ""TV"", ""High chair"", ""Cooking basics"", ""Refrigerator"", ""Hot water"", ""Essentials"", ""Dishes and silverware"", ""Kitchen"", ""Microwave"", ""Pack \u2019n play/Travel crib""]",$82.00,34,54,4.89,4.78,4.89,4.93,4.93,4.89,4.69,f
23,Val Fassa - 410 bertoli,"(022036-AT-051918) Four-room apartment on the second floor. Apartment has 3 bedrooms, (1 double, 1 with single bed + pullout and 1 with 2 single beds). One bathroom with tub, living room and independent kitchen. Wi-fi, washing machine, television, oven, dishwasher, 2 balconies and garage. NO PETS AND NO SMOKING VAL FASSA Apartment block is located close to the center of Campitello di Fassa providing easy access to facilities including ski bus stop, ski school, ski rental and mountain bike hire. Col Rodella cable car and Ischia sports center with the ADEL artificial climbing wall is only a distance of 500 meters. Located in the center are many services including supermarket, ATM, restaurants, bars and pizzeria. Close to many walking trails. VAL FASSA Apartment block is located close to the center of Campitello di Fassa providing easy access to facilities including ski bus stop, ski school, ski rental and mountain bike hire. Col Rodella cable car and Ischia s",https://a0.muscache.com/pictures/prohost-api/Hosting-15767498/original/9b61e202-e33d-4fd9-bfe8-dbfed179f5cc.jpeg,2016-09-12,within an hour,f,64.0,t,Entire home/apt,6,1 bath,3.0,6.0,"[""Bed linens"", ""Long term stays allowed"", ""Free parking on premises"", ""Heating"", ""Wifi"", ""Coffee maker"", ""Hair dryer"", ""High chair"", ""Crib"", ""Ethernet connection"", ""Free washer \u2013 In unit"", ""Oven"", ""Private patio or balcony"", ""Bathtub"", ""HDTV"", ""Iron"", ""Refrigerator""]",$122.00,84,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t
24,Casa Formenti Codice CIPAT 022228-AT-523250,"Appartamento di 90mq, a piano primo, a Campo Minore, piccola Frazione del Comune di Comano Terme, a 2 km dalle Terme di Comano, a pochi km dai castelli di Stenico e Campo Lomaso, dai laghi di Tenno (13km) Garda e Molveno (25km). Dista 30km da Trento e 40km da Madonna di Campiglio. Lettini e il necessario per neonati e bambini (a richiesta). Possibilità di trasformare un letto singolo in letto a castello. Gratuita connessione Wi-Fi e parcheggio privato. Non adatto a persone diversamente abili. Other things to note La proprietà è completamente recintata e per accedervi c' è un cancello automatizzato. Il piazzale adiacente all'ingresso dell'appartamento è di circa 70 metri quadrati ed è a vostra disposizione. Qui troverete un tavolo e 2 panche in legno e nella appartamento avete a disposizione due sedie a sdraio. La restante proprietà esterna orto- prato NON sono a disposizione. License number CIPAT 022228-",https://a0.muscache.com/pictures/3529cb1e-18a0-43e8-98f8-001963fd9abe.jpg,2019-08-12,within an hour,f,1.0,f,Entire home/apt,5,1 bath,2.0,4.0,"[""Long term stays allowed"", ""Heating"", ""Wifi"", ""Baking sheet"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Oven"", ""Iron"", ""Freezer"", ""Private entrance"", ""Free parking on premises"", ""Outdoor furniture"", ""Cleaning products"", ""Clothing storage: closet and dresser"", ""Stove"", ""Washer"", ""Bed linens"", ""Single level home"", ""TV"", ""Cooking basics"", ""Bathtub"", ""Bidet"", ""Drying rack for clothing"", ""Refrigerator"", ""Hot water"", ""Private fenced garden or backyard"", ""Essentials"", ""Dishes and silverware"", ""Kitchen"", ""Extra pillows and blankets"", ""Hangers""]",$65.00,55,9,4.89,5.0,5.0,5.0,5.0,4.78,4.89,f
25,Haus Cuel primo piano,"Appartamento di 65 mq con entrata, cucina , salotto, 2 stanze ( 1 matrimoniale con tv e 1 matrimoniale più letto a castello ) , bagno finestato più lavatrice , disbrigo. 2 balconi . Other things to note La quota comprende: sistemazione x 4 persone , presenze aggiuntive euro 10 a testa ( dopo le 4 persone ) . Riscaldamento se necessita fino a 2 giorni da pagare in loco alla partenza euro 10 al giorno .Dopo i 2 giorni pagamento previa lettura del contatore . Pulizie finali euro 20 License number 022087AT055911",https://a0.muscache.com/pictures/4f47c583-d907-4bf1-a829-3e4085e38e1e.jpg,2015-07-29,within a few hours,t,4.0,f,Entire home/apt,6,1 bath,2.0,6.0,"[""Long term stays allowed"", ""Heating"", ""Body soap"", ""Microwave"", ""Pour-over coffee"", ""Hair dryer"", ""Baking sheet"", ""Crib"", ""Oven"", ""Free street parking"", ""Iron"", ""Freezer"", ""Free parking on premises"", ""Free washer \u2013 In unit"", ""Clothing storage: closet and dresser"", ""Stove"", ""Bed linens"", ""Hot water kettle"", ""Coffee maker"", ""TV"", ""High chair"", ""Backyard"", ""Cooking basics"", ""Dining table"", ""Dishwasher"", ""Room-darkening shades"", ""Drying rack for clothing"", ""Baby bath"", ""Bidet"", ""Refrigerator"", ""Hot water"", ""Wine glasses"", ""Essentials"", ""BBQ grill"", ""Dishes and silverware"", ""Kitchen"", ""Changing table"", ""Extra pillows and blankets"", ""Children\u2019s dinnerware"", ""Pack \u2019n play/Travel crib"", ""Hangers""]",$99.00,3,7,5.0,5.0,5.0,5.0,4.86,4.86,5.0,f
26,"300 feets to ski tracks, nice flat","Nice apartment, 2 bedrooms (6 beds: 2+4), 300 feets to ski slopes, 10-15 minutes walk from center of Madonna di Campiglio. Very quiet and surrounded by woods. Living room with full-wall window looking at the Dolomites. Private garage included. The space There is a full-wall window with a e terrace and a fantastic view at the Dolomites. The sunrays can enter into the entire living room Guest access Guests have the entire apartment Other things to note No smoking in the apartment",https://a0.muscache.com/pictures/ab2dff2e-a2d9-48dc-8f77-101ca7d4c33a.jpg,2015-05-21,within an hour,f,1.0,t,Entire home/apt,6,1 bath,2.0,6.0,"[""Essentials"", ""Free parking on premises"", ""Heating"", ""Dishes and silverware"", ""Shampoo"", ""Kitchen"", ""Cooking basics"", ""Patio or balcony"", ""Ski-in/Ski-out"", ""Refrigerator"", ""Hot water""]",$105.00,70,39,4.62,4.59,4.38,4.65,4.78,4.89,4.51,f
27,Casa32 Classic,Rilassati e goditi tanto spazio in più in questo ampio alloggio. Adatto alle famiglie pratico,https://a0.muscache.com/pictures/8f6ef9f9-cd5d-4120-b79a-628306e0e202.jpg,2019-06-15,within an hour,f,4.0,t,Entire home/apt,6,1 bath,2.0,5.0,"[""Washer"", ""Security cameras on property"", ""BBQ grill"", ""Free parking on premises"", ""Long term stays allowed"", ""Fire extinguisher"", ""Wifi"", ""Outdoor dining area"", ""TV"", ""Kitchen"", ""Air conditioning"", ""First aid kit"", ""Dedicated workspace"", ""Outdoor shower""]",$128.00,56,4,5.0,5.0,5.0,5.0,5.0,4.75,5.0,t
28,003_Appartamento 2+2 con terrazza vista paese,"Appartamento nuovissimo e spazioso al piano terra, arredato con uno stile fresco e moderno, dotato di terrazza con vista sul paese. Una grande camera da letto, bagno finestrato con doccia e zona giorno open space con divano letto, tavolo da pranzo e cucina completamente attrezzata. Wifi veloce, parcheggio, deposito per l'attrezzatura sportiva. L'appartamento si trova all'interno di un Residence dotato di una grande terrazza/solarium sul tetto con una vista mozzafiato! The space Residence Aurora vi aspetta nel cuore dell’Alpe Cimbra, in una posizione privilegiata dalla quale poter ammirare dall’alto tutto l’Altopiano di Lavarone, i suoi profili montuosi, i suoi boschi e tutto il cielo quando è infuocato dal tramonto o impreziosito dalle stelle. L’intera struttura è stata completamente rinnovata ed è pronta ad aprire le porte per offrire la gioia di una vacanza indimenticabile in uno spazio pensato per essere accogliente, agile ed attrezzato per soddisfare ogni ne",https://a0.muscache.com/pictures/e59da1c3-33d3-4061-ad71-a49c86a34825.jpg,2021-01-23,within a few hours,t,15.0,t,Entire home/apt,4,1 bath,1.0,1.0,"[""Long term stays allowed"", ""Heating"", ""Body soap"", ""Wifi"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Free washer \u2013 In building"", ""Iron"", ""Toaster"", ""Nespresso machine"", ""Free parking on premises"", ""Fire extinguisher"", ""Security cameras on property"", ""Free dryer \u2013 In building"", ""Coffee maker"", ""TV"", ""Dining table"", ""First aid kit"", ""Refrigerator"", ""Hot water"", ""Essentials"", ""Dishes and silverware"", ""Kitchen"", ""Dedicated workspace"", ""Microwave"", ""Hangers""]",$95.00,61,6,4.83,5.0,4.83,5.0,4.67,4.67,5.0,t
29,Tabià Elisa P1,"Typical renovated mountain heyloft, located in the beautiful Campitello di Fassa. The apartment has ski deposit, outside parking place, free wifi. THREE-ROOM APARTMENT, SLEEPS 4 P1: Apartment on the first top floor composed of living with cooking corner, one double bedroom, one bedroom with bunk bed, bathroom. . The space Typical renovated mountain heyloft, located in the beautiful Campitello di Fassa. The apartment has ski deposit, outside parking place, free wifi. THREE-ROOM APARTMENT, SLEEPS 4 P1: Apartment on the first top floor composed of living with cooking corner, one double bedroom, one bedroom with bunk bed, bathroom. Guest access Acces to the apartment, the storage and the garden Other things to note Included services - Heating: Services available according to season From 01/01 to 31/05. From 01/10 to 31/12. <br /",https://a0.muscache.com/pictures/prohost-api/Hosting-29251511/original/e0452c20-d9ab-47c4-ac41-bf8bc32c6ce9.jpeg,2016-10-26,within a few hours,f,47.0,t,Entire home/apt,4,1 bath,2.0,2.0,"[""Washer"", ""Essentials"", ""Bed linens"", ""Free parking on premises"", ""Long term stays allowed"", ""Heating"", ""Wifi"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""TV"", ""Backyard"", ""Kitchen"", ""Cooking basics"", ""Oven"", ""Dishwasher"", ""Stove"", ""Free street parking"", ""Freezer"", ""Refrigerator""]",$366.00,0,7,4.71,4.71,4.86,4.29,4.86,4.86,4.71,t
