Date,Name,Reviews,Language,ISO,Key phrases,Sum of Score sentiment,Sentiment
10/8/21,Derek,A great location to explore the northern portion of the lake. Nice central location and walking distance to lake. Spacious and clean. Would definitely recommend,English,en,"lake, great location, Nice central location, walking distance, northern portion",100.00%,Positive
10/5/21,Ekaterina,"Littler paradise on Garda. The apartment located in 15 minutes from Garda and that’s a big advantage. Very quiet, green area, you can enjoy birds singing, sunset on terrace, trees in the garden. Apparent is spacious, very clean, with a modern and antique furniture, well equipped kitchen and bath, big terrace with a nice view. Roberto is a very positive, helpful, open person. It was a big pleasure to stay here.",English,en,"big terrace, Garda, big advantage, big pleasure, equipped kitchen, bath, antique furniture, birds, nice view, green area, open person, trees, sunset, minutes, Roberto, Littler paradise, apartment",100.00%,Positive
9/28/21,Charly,"Super host, super place, super clean.",English,en,"Super host, super place",98.70%,Positive
9/25/21,Kate,"We enjoyed two nights at Robertos apartment at Lake Garda. The apartment was light, spotlessly clean and with a lovely view and balcony (equipped with sun loungers). It is located a 20 minute walk from the Lake. The kitchen has everything you need for cooking. We loved our stay here and hope to be back!",English,en,"Lake Garda, Robertos apartment, nights, balcony, lovely view, minute walk, light, kitchen, cooking, loungers, stay",99.60%,Positive
9/23/21,Julia,"The apartment is very spacious and flooded with light. The kitchen contains everything you need and the highlight of the apartment is for sure the big terrace with a stunning view of the mountains. You need about 20 min to the lake and 30 min to the city centre by walking but due to the distance, it is completely quiet at night and the apartment is perfectly located for some hiking. Communication with Roberto and the check-in with his sister was easy as well. Highly recommend :)",English,en,"apartment, big terrace, stunning view, check-in, walking, sister, Roberto, city centre, distance, Communication, mountains, night, highlight, lake, hiking, kitchen",100.00%,Positive
9/21/21,Franco,È stata la mia d’eco da volta da Roberto… sempre tutto perfetto!,Italian,it,"Roberto, eco da volta",95.00%,Positive
9/17/21,Stefan,"Das geräumige Appartment von Roberto habe ich nun bereits zum zweiten Mal gebucht. Die Terrasse mit dem tollen Ausblick bleibt weiterhin der sprichwörtliche Hingucker. Die Ausstattung der Wohnung macht entspannte Tage am Gardasee möglich. Neu ist seit diesem Jahr eine kleine Waschmaschine im Badezimmer und ein elektrisch einfahrbares Sonnensegel auf der Terrasse. Die ruhige Lage, einige top Restaurants in direkter Umgebung und die beiden Räder, mit denen man bequem in wenigen Minuten runter an den Lago radeln kann, runden die Wohnung als wunderbares Ferienziel ab. Roberto und seine Familie sind wunderbare Gastgeber, stets erreichbar und wir können hoffentlich bald wieder einmal kommen.",German,de,"Roberto, Terrasse, Ausstattung der Wohnung, top Restaurants, elektrisch einfahrbares Sonnensegel, direkter Umgebung, Badezimmer, Lago, runden, ruhige Lage, Waschmaschine, Familie, wunderbare Gastgeber, wunderbares Ferienziel, sprichwörtliche Hingucker, wenigen Minuten, Räder, geräumige Appartment, Gardasee, Mal, Neu",59.80%,Negative
9/11/21,Petra,"Overall great experience. Roverto was lovely. Amazing view from the terrace, will definetly be back!",English,en,"terrace, Amazing view, great experience, Roverto",99.90%,Positive
9/8/21,Andrzej,Greate apartment. Everyting as it Is on photos or even better! Quick and fast contact with Roberto! Recomend this apartment to everyone. We will definitley back some day!,English,en,"Greate apartment, fast contact, Roberto, Everyting, photos, definitley, day, Recomend",100.00%,Positive
9/6/21,Beatrice,"Again, everything was perfect! Roberto is a great host- we hope to be at his place again soon :)",English,en,"Roberto, great host, place",100.00%,Positive
9/3/21,Lucie,"Super appartement, au calme tres propres refait à neuf avec tous les commodités Roberto est super hôte Les adresses des restaurants sont top",French,fr,"super hôte, Super appartement, adresses des restaurants, calme tres propres, commodités Roberto, top",93.50%,Positive
8/10/21,Anna,"Wir waren zum dritten Mal im Apartment von Roberto. Da wir immer wieder kommen u d schon zwei Bewertungen geschrieben hatten, fasse ich mich kurz. Wir empfehlen dieses Apartment zu 100% Wir waren immer super zufrieden mit der Lage, der Sauberkeit, der Ausstattung und der Kommunikation mit dem Vermieter. :))",German,de,"Apartment, Ausstattung, Sauberkeit, Kommunikation, Lage, Vermieter, Roberto, Mal, Bewertungen",70.00%,Neutral
7/28/21,Donatella,Appartamento molto luminoso e ben attrezzato con una fantastica vista delle montagne. Accoglienza ottima e super disponibili. Consigliato.,Italian,it,"Accoglienza ottima, super disponibili, montagne, Appartamento",100.00%,Positive
7/25/21,Finn,"Roberto‘s Place is much more beautiful than we expected. He always tried to be there for our questions and named us some great spots to visit. The location was clean, modern and well equipped. There was nothing missing around the place. Roberto and his family surprised us with their open minded, always friendly and family behavior. We would return to this location without any concerns. Thank you for everything!",English,en,"location, Roberto, family behavior, s Place, questions, great spots, concerns",100.00%,Positive
7/18/21,Andrey,We were happy to escape from the big city and spend a weekend at this wonderful place. By a chance we would stay here again and maybe longer to enjoy the magnificent terrace. And for our small kids the highlight of the trip was a great playground just around the corner which was kindly suggested by Roberto’s wife.,English,en,"trip, weekend, highlight, great playground, big city, corner, small kids, wonderful place, Roberto’s wife, magnificent terrace, chance",99.70%,Positive
7/16/21,Laura,"Die Unterkunft ist sehr ruhig gelegen. Man benötigt etwa 20min zu Fuß zum nächsten Supermarkt/Eisdiele und zum Ufer des Gradasees. Der kostenlose Parkplatz befindet sich gleich ums Eck. Die Wohnung war sehr sauber und wirkte relativ neu renoviert. Von der großen Terrasse hat man einen wunderbaren Blick in die umliegenden Berge. Roberto und seine Frau Federica sind sehr freundlich, hilfsbereit und zuvorkommend.",German,de,"Eisdiele, Ufer, wunderbaren Blick, nächsten Supermarkt, umliegenden Berge, Frau Federica, Roberto, Terrasse, Gradasees, relativ neu, kostenlose Parkplatz, Wohnung, Unterkunft",65.90%,Neutral
7/9/21,Fabian,Super Unterkunft und ausgezeichnete Gastgeber. Auch die Fahrräder vor Ort waren super! Absolut zu empfehlen.,German,de,"Super Unterkunft, ausgezeichnete Gastgeber, Fahrräder, Ort",100.00%,Positive
7/4/21,Leon,I can recommend this apartment for every kind of group. Nicely located and not too far from town. Great communication with the host and no problems with check-in nor check-out. Great stay! 👍,English,en,"Great communication, Great stay, problems, host, check-in, apartment, kind of group, check-out, town",100.00%,Positive
6/29/21,Franco,"Uno dei rari casi in cui la realtà ha ecceduto le aspettative. Successo meritato per un appartamento Luminoso, accogliente e distensivo.",Italian,it,"realtà, appartamento Luminoso, rari casi, aspettative",77.70%,Neutral
6/27/21,Lucia,bellissima casa e il padrone di casa premuroso e gentilissimo ci ritornero,Italian,it,"bellissima casa, padrone di casa premuroso, ritornero",100.00%,Positive
6/25/21,Michael,Tolles Appartement mit großartiger Terrasse. Fahrrad für in die Altstadt ist sinnvoll.,German,de,"Tolles Appartement, großartiger Terrasse, Fahrrad, Altstadt",86.30%,Positive
6/20/21,Marco,Host molto molto disponibile…ottima permanenza 😊,Italian,it,"Host, ottima permanenza",95.20%,Positive
6/17/21,Radovan,"Nice apartment, good communication.",English,en,"Nice apartment, good communication",94.20%,Positive
6/13/21,Beatrice,"Wir hatten eine tolle Zeit in Robertos Apartment: die Begrüßung war herzlich, Roberto immer hilfsbereit und erreichbar und das Apartment - insbesondere die Aussicht und die Lage inmitten des Olivenhains - ein Traum! Insgesamt haben wir uns sehr wohl gefühlt und kommen sehr gerne wieder :)",German,de,"Robertos Apartment, Lage, Olivenhains, Begrüßung, Aussicht, Traum",72.20%,Neutral
6/10/21,Paul-Gerhard,"Bei der Ankunft wurden wir sehr herzlich empfangen. Die Wohnung ist größer als wir erwartet haben, frisch renoviert, sehr sauber und super ausgestattet. Auch in der Küche ist alles vorhanden was man braucht. Besonders hervorzuheben ist auch die große Sonnenterrasse. Wir haben Frühstück und Abendessen hier sehr genossen, mit dem Ausblick auf die umliegenden Berge, der Ruhe und dem Vogelgezwitscher. Zum See sind es ca. 20min, in die Innenstadt von Riva ca. 30min zu Fuß. Roberto und seine Familie sind sehr gastfreundlich und haben uns auch viele Insider-Tipps für Ausflüge etc. gegeben. Die Kommunikation mit Roberto ist super, er meldet sich sofort bei Fragen etc. und Wir freuen und schon auf unseren nächsten Besuch.",German,de,"Roberto, super, umliegenden Berge, Ruhe, Insider, Tipps, Ausflüge, Ausblick, Vogelgezwitscher, frisch, Kommunikation, Frühstück, Abendessen, Innenstadt, Riva, nächsten Besuch, Wohnung, Familie, Ankunft, Küche, Sonnenterrasse, See, Fragen",58.60%,Negative
6/5/21,Henryka,Sind jetzt das zweite mal bei Roberto gewesen und sicher nicht das letzte mal! Wir fühlen uns im Apartament sehr wohl. Die Lage ist direkt am Monte Brione und mit dem Auto ist man in 5 min. in der Stadt. Die Wohnung ist sehr sauber und die Sonne scheint bis abends auf die große Terrasse. Die Kommunikation ist sehr gut und sehr schnell. Roberto ist sehr hilfsbereit! Danke und bis bald!,German,de,"Roberto, letzte mal, Monte Brione, Sonne, abends, Lage, Auto, Wohnung, Terrasse, Apartament, Stadt, Kommunikation, Danke",63.50%,Neutral
5/16/21,Stefania,"L'appartamento è ben posizionato rispetto alle principali ciclabili del Garda, a neanche un km dal centro di Riva, ottimo perchè in zona tranquilla e silenziosa. Pulizia ottima al pari di un hotel stellato, comodità della cucina e del letto. La terrazza è un plus che regala sensazionali viste sulle montagne trentine. Roberto e la sua famiglia sono stati gentilissimi! Sicuramente torneremo.",Italian,it,"perchè, comodità della cucina, hotel stellato, plus, pari, zona tranquilla, sulle montagne trentine, principali ciclabili, Garda, centro di Riva, famiglia, appartamento, terrazza, Pulizia",66.10%,Neutral
1/18/21,Alessandro,Assolutamente perfetto... Accoglienza squisita... Appartamento sapientemente ristrutturato ed arredato con gusto... Da consigliare,Italian,it,"Appartamento, Accoglienza squisita, gusto",100.00%,Positive
1/12/21,Leonie,We had a very nice stay with Roberto.,English,en,"nice stay, Roberto",91.60%,Positive
10/25/20,Anna,"Hell, sauber und auch für kühlere Tage, durch eine super Heizung, top geeignet",German,de,"super Heizung, top, Hell",100.00%,Positive
10/11/20,Tanja,The Appartement was really nice and clean! Very bright! Communication was easy! Very positive,English,en,"Appartement, Communication",100.00%,Positive
10/8/20,Magdalena,"Wspaniałe miejsce do wypoczynku. Piękne widoki na góry z ogromnego tarasu. Mieszkanie bardzo czyste i zadbane. Świetna lokalizacja, do tego w ramach wynajmu dostęp do rowerów bardzo ułatwił nasz pobyt. Chętnie bym tam wróciła, lub zamieszkała na stałe. Polecam serdecznie! :)",Polish,pl,"ramach wynajmu dostęp, rowerów, Piękne widoki, góry, ogromnego tarasu, Świetna lokalizacja, Wspaniałe miejsce, wypoczynku, Mieszkanie, pobyt",73.80%,Neutral
10/3/20,Barbara,"Diese Unterkunft ist jedenfalls zu empfehlen! Die Gastgeber sind äußerst freundlich und zuvorkommend! Die Unterkunft ist sehr schön und sauber, modern und gemütlich! Jederzeit wieder! Danke an Roberto und Nonna",German,de,"Unterkunft, Danke, Roberto, Nonna, Gastgeber, modern",79.40%,Neutral
9/29/20,Manfred,"Robertos Wohnung ist prima ausgestattet, gepflegt und super-sauber. Es fehlt nichts. Die wunderbare Sonnenterasse lädt zu längerem Aufenthalt ein. Entspannung pur ist vorprogrammiert. Nicht weit von See und Riva del Garda Zentrum entfernt, außerdem ca. 1 km bis zu einem größeren Einkaufszentrum hat die Wohnung eine ideale Lage, ist außerdem sehr ruhig gelegen.",German,de,"Robertos Wohnung, See, Riva del Garda Zentrum, größeren Einkaufszentrum, ideale Lage, wunderbare Sonnenterasse, längerem Aufenthalt, prima, super, Entspannung",68.90%,Neutral
9/8/20,Stefan,"Die große Wohnung liegt wunderschön im Norden von Riva. Wir haben unsere Tage dort sehr genossen. Mit den beiden älteren Rädern, die wir netterweise nutzen durften, waren wir in wenigen Minuten am See. Auch die Altstadt von Riva war so schnell zu erreichen. Die Lage des Hauses ist wunderbar, ruhig, mit einem großen Garten und umgeben von Olivenbaum-Plantagen. Für uns war es ein perfekter Ort, um von dort unsere Ausflüge zu starten. Und wir haben es geliebt, auf der großen Terrasse zu frühstücken und unsere Abende zu verbringen.",German,de,"Riva, nutzen, Garten, umgeben, Olivenbaum, Plantagen, wenigen Minuten, älteren Rädern, See, Wohnung, Norden, perfekter Ort, Lage des Hauses, Terrasse, Abende, Ausflüge, Altstadt",61.40%,Neutral
9/3/20,Martin,"Roberto und Federica sind tolle Gastgeber. Wir haben den Aufenthalt in ihrer Wohnung sehr genossen - schöne Terrasse, großes Haus, Parkplatz direkt vor der Tür, großer Garten. Die Wohnung befindet sich in einem ruhigen Viertel, abseits der touristischen Massen. Wir haben die Ruhe genossen. An den See braucht man zu Fuß ca. 17 Minuten, in die Altstadt von Riva ca 25. Mit dem Fahrrad geht es erheblich schneller. Federica hat uns sogar zwei Stadträder geliehen ... in Wurfweite der Wohnung gibt es einen kleinen Lebensmittelladen, der Brötchen und Getränke führt. Die ebenfalls ums Eck liegende Trattoria d‘Allessandro ist unserer Meinung das beste Restaurant in Riva - ehrliche und authentische Küche mit leckeren Weinen zu fairen Preisen. Ganz abseits des touristischen Trubels in der hektischen Altstadt. Alles in allem waren wir rundum happy bei Federica und Roberto - wir kommen bestimmt wieder! Arrivederci :)",German,de,"Wohnung, Federica, abseits, Roberto, Riva ca, touristischen Massen, touristischen Trubels, hektischen Altstadt, authentische Küche, Allessandro, leckeren Weinen, beste Restaurant, Meinung, ruhigen Viertel, fairen Preisen, Haus, Parkplatz, schöne Terrasse, Eck liegende Trattoria, Tür, Fahrrad, Lebensmittelladen, tolle Gastgeber, Stadträder, Brötchen, Getränke, Wurfweite, Minuten, Garten, schneller, Aufenthalt, Ruhe",57.10%,Negative
8/31/20,Henryka,Wir haben uns bei Roberto und seiner Familie sehr wohl gefühlt und die Kommunikation war problemlos. Die Unterkunft ist super sauber und komfortable. Unser Highlight war die Terasse und die tolle Lage. Mit dem Hund haben wir schöne Spaziergänge in der Umgebung gemacht. Wir kommen gerne wieder :),German,de,"Terasse, tolle Lage, Familie, Spaziergänge, Unterkunft, super, Highlight, Roberto, Kommunikation, Hund",70.80%,Neutral
8/17/20,Lavinia,"We loved it! The apartment is nice and the terrace is beautiful. We really enjoyed having breakfast and dinner outside. It’s a 10-20min walk from the apartment to the city center of Riva, which is perfect because you‘re living in a quiet area but still close to the restaurants and the lake. Roberto and his wife were great hosts! Whenever we had a question, Roberto answered immediately and helped us. 10 out of 10 would recommend :)",English,en,"apartment, Roberto, city center of Riva, restaurants, terrace, wife, great hosts, quiet area, lake, breakfast, dinner, question",100.00%,Positive
8/14/20,Sahrone,The stay was so great! Airconditioning seemed broken but roberto literally came immediately to help out and fix it. So great!! The appartement was really nice and we LOVED the location! So many nice restaurants and beautiful places near it.,English,en,"nice restaurants, beautiful places, Airconditioning, roberto, stay, appartement, location",99.80%,Positive
8/8/20,Eva,"Wir haben unseren Aufenthalt bei Roberto sehr genossen. Die Wohnung ist wie beschrieben in einem wunderschönen Haus mit Garten und toller Terrasse gelegen. Alles war sauber, modern und geschmackvoll gestaltet. Herzstück ist die Terrasse und der tolle Garten (wir durften uns an Tomaten und Zitronen bedienen). Gute Ausstattung. Die Lage ist ruhig, zu Fuß einen etwas weiteren Spaziergang vom See (ca 17min) und Altstadt (35min) entfernt. Wir wurden wieder buchen :)",German,de,"toller Terrasse, tolle Garten, wunderschönen Haus, ca, Tomaten, unseren Aufenthalt, Roberto, Spaziergang, See, Zitronen bedienen, Herzstück, modern, Altstadt, Wohnung, Ausstattung, Lage",63.70%,Neutral
7/1/20,Liz,"Thank u so much for the comfortable accommodation. It was very clean, we had everything we needed. Roberto is super friendly and his mother is super sweet and courteous. We had a great view every morning at the breakfast from the great terrace. We would come back at any time.",English,en,"great view, great terrace, mother, breakfast, morning, Roberto, comfortable accommodation, time",100.00%,Positive
6/21/20,Irina,"Robertos place was great, ein super Ausgangspunkt für tolle Ausflüge, mit dem Rad erreicht man alles sehr schnell und lebt in einer gemütlichen Wohnung in familiärer und landschaftlich toller Umgebung, die Terasse ist ein Highlight. Wir kommen gerne wieder!",German,de,"landschaftlich toller Umgebung, super Ausgangspunkt, great, tolle Ausflüge, gemütlichen Wohnung, Terasse, Robertos place, Rad, Highlight",75.00%,Neutral
6/15/20,Mats,L'ospitalità di Roberto é 10! Sempre a disposizione per qualsiasi bisogno di aiuto o informazioni.,Italian,it,"bisogno di aiuto, ospitalità di Roberto é, disposizione, informazioni",81.10%,Positive
5/25/20,Marco,"Ottima casa, Tutto ok.",Italian,it,"Ottima casa, ok",81.60%,Positive
