Unnamed: 0,Date,Name,Reviews
23,2022-04-18,Beatrice,"Wir waren nun schon das Dritte mal bei Roberto, es ist fast wie nach Hause kommen :) Es war wie immer ein sehr schöner Aufenthalt. Roberto hat uns viele Tipps gegeben und uns mehr über die Gegend erzählt. Die Wohnung ist sehr sauber und man fühlt sich einfach wohl. Die nächste Reise ist schon gebucht! ;)"
24,2022-04-14,Niklas,"Beautiful, light, clean and cozy apartment with a peaceful and green location. Unique atmosphere! Good possibilities for cycling. We were here with a 10-month old baby and he loved the garden as well as we did!"
25,2022-04-10,Armin,"Alles Top, tolle Unterkunft!"
26,2022-04-07,Stefan,"Sehr schöne Wohnung mit super großem Balkon mit tollem Ausblick. Küche ist gut ausgestattet (einzig auf eine Spülmaschine muss man verzichten), sehr schönes Bad, Parkplatz sehr nahe und über die Via Longa auch nur 18 Minuten zu Fuß zum See. Empfehlungswert besonders auch für Familien mit kleineren Kindern, ein super Spielplatz mit Kleinkindbereich ist direkt um die Ecke. Internet war schnell und stabil. Definitiv empfehlenswert und ein guter Ausgangspunkt für alle möglichen Aktivitäten am nördlichen Gardaseeufer!"
27,2021-10-26,Maxim,Einfach Wunderschön. Die Lage ist Top. Apartment Wunderschön. Nur zum Empfehlen.
28,2021-10-23,Dirk,Wir haben uns sehr wohl gefühlt. Es hatte schon fast eine etwas familiäre Atmosphäre ohne zu große Nähe. Wir kommen gerne wieder.
29,2021-10-16,Matthias,"Unbedingt zu empfehlen. Sehr schönes, großzügiges Appartment mit einer großen Terasse und guter Ausstattung. Roberto ist der Gastgeber, den sich jeder Airbnb-reisende wünscht, interessiert, freundlich, kommunikativ, mit sehr guten Tipps für den Aufenthalt. Wer sich hier nicht wohlfühlt, sollte lieber zuhause bleiben!"
30,2021-10-08,Derek,A great location to explore the northern portion of the lake. Nice central location and walking distance to lake. Spacious and clean. Would definitely recommend
31,2021-10-05,Ekaterina,"Littler paradise on Garda. The apartment located in 15 minutes from Garda and that’s a big advantage. Very quiet, green area, you can enjoy birds singing, sunset on terrace, trees in the garden. Apparent is spacious, very clean, with a modern and antique furniture, well equipped kitchen and bath, big terrace with a nice view. Roberto is a very positive, helpful, open person. It was a big pleasure to stay here."
32,2021-09-28,Charly,"Super host, super place, super clean."
33,2021-09-25,Kate,"We enjoyed two nights at Robertos apartment at Lake Garda. The apartment was light, spotlessly clean and with a lovely view and balcony (equipped with sun loungers). It is located a 20 minute walk from the Lake. The kitchen has everything you need for cooking. We loved our stay here and hope to be back!"
34,2021-09-23,Julia,"The apartment is very spacious and flooded with light. The kitchen contains everything you need and the highlight of the apartment is for sure the big terrace with a stunning view of the mountains. You need about 20 min to the lake and 30 min to the city centre by walking but due to the distance, it is completely quiet at night and the apartment is perfectly located for some hiking. Communication with Roberto and the check-in with his sister was easy as well. Highly recommend :)"
35,2021-09-21,Franco,È stata la mia d’eco da volta da Roberto… sempre tutto perfetto!
36,2021-09-17,Stefan,"Das geräumige Appartment von Roberto habe ich nun bereits zum zweiten Mal gebucht. Die Terrasse mit dem tollen Ausblick bleibt weiterhin der sprichwörtliche Hingucker. Die Ausstattung der Wohnung macht entspannte Tage am Gardasee möglich. Neu ist seit diesem Jahr eine kleine Waschmaschine im Badezimmer und ein elektrisch einfahrbares Sonnensegel auf der Terrasse. Die ruhige Lage, einige top Restaurants in direkter Umgebung und die beiden Räder, mit denen man bequem in wenigen Minuten runter an den Lago radeln kann, runden die Wohnung als wunderbares Ferienziel ab. Roberto und seine Familie sind wunderbare Gastgeber, stets erreichbar und wir können hoffentlich bald wieder einmal kommen."
37,2021-09-13,Oliver,Alles super!
38,2021-09-11,Petra,"Overall great experience. Roverto was lovely. Amazing view from the terrace, will definetly be back!"
39,2021-09-08,Andrzej,Greate apartment. Everyting as it Is on photos or even better! Quick and fast contact with Roberto! Recomend this apartment to everyone. We will definitley back some day!
40,2021-09-06,Beatrice,"Again, everything was perfect! Roberto is a great host- we hope to be at his place again soon :)"
41,2021-09-03,Lucie,"Super appartement, au calme tres propres refait à neuf avec tous les commodités Roberto est super hôte Les adresses des restaurants sont top"
42,2021-08-10,Anna,"Wir waren zum dritten Mal im Apartment von Roberto. Da wir immer wieder kommen u d schon zwei Bewertungen geschrieben hatten, fasse ich mich kurz. Wir empfehlen dieses Apartment zu 100% Wir waren immer super zufrieden mit der Lage, der Sauberkeit, der Ausstattung und der Kommunikation mit dem Vermieter. :))"
43,2021-07-28,Donatella,Appartamento molto luminoso e ben attrezzato con una fantastica vista delle montagne. Accoglienza ottima e super disponibili. Consigliato.
44,2021-07-25,Finn,"Roberto‘s Place is much more beautiful than we expected. He always tried to be there for our questions and named us some great spots to visit. The location was clean, modern and well equipped. There was nothing missing around the place. Roberto and his family surprised us with their open minded, always friendly and family behavior. We would return to this location without any concerns. Thank you for everything!"
45,2021-07-18,Andrey,We were happy to escape from the big city and spend a weekend at this wonderful place. By a chance we would stay here again and maybe longer to enjoy the magnificent terrace. And for our small kids the highlight of the trip was a great playground just around the corner which was kindly suggested by Roberto’s wife.
46,2021-07-16,Laura,"Die Unterkunft ist sehr ruhig gelegen. Man benötigt etwa 20min zu Fuß zum nächsten Supermarkt/Eisdiele und zum Ufer des Gradasees. Der kostenlose Parkplatz befindet sich gleich ums Eck. Die Wohnung war sehr sauber und wirkte relativ neu renoviert. Von der großen Terrasse hat man einen wunderbaren Blick in die umliegenden Berge. Roberto und seine Frau Federica sind sehr freundlich, hilfsbereit und zuvorkommend."
47,2021-07-09,Fabian,Super Unterkunft und ausgezeichnete Gastgeber. Auch die Fahrräder vor Ort waren super! Absolut zu empfehlen.
48,2021-07-04,Leon,I can recommend this apartment for every kind of group. Nicely located and not too far from town. Great communication with the host and no problems with check-in nor check-out. Great stay! 👍
49,2021-06-29,Franco,"Uno dei rari casi in cui la realtà ha ecceduto le aspettative. Successo meritato per un appartamento Luminoso, accogliente e distensivo."
50,2021-06-27,Lucia,bellissima casa e il padrone di casa premuroso e gentilissimo ci ritornero
51,2021-06-25,Michael,Tolles Appartement mit großartiger Terrasse. Fahrrad für in die Altstadt ist sinnvoll.
52,2021-06-20,Marco,Host molto molto disponibile…ottima permanenza 😊
53,2021-06-17,Radovan,"Nice apartment, good communication."
54,2021-06-13,Beatrice,"Wir hatten eine tolle Zeit in Robertos Apartment: die Begrüßung war herzlich, Roberto immer hilfsbereit und erreichbar und das Apartment - insbesondere die Aussicht und die Lage inmitten des Olivenhains - ein Traum! Insgesamt haben wir uns sehr wohl gefühlt und kommen sehr gerne wieder :)"
55,2021-06-10,Paul-Gerhard,"Bei der Ankunft wurden wir sehr herzlich empfangen. Die Wohnung ist größer als wir erwartet haben, frisch renoviert, sehr sauber und super ausgestattet. Auch in der Küche ist alles vorhanden was man braucht. Besonders hervorzuheben ist auch die große Sonnenterrasse. Wir haben Frühstück und Abendessen hier sehr genossen, mit dem Ausblick auf die umliegenden Berge, der Ruhe und dem Vogelgezwitscher. Zum See sind es ca. 20min, in die Innenstadt von Riva ca. 30min zu Fuß. Roberto und seine Familie sind sehr gastfreundlich und haben uns auch viele Insider-Tipps für Ausflüge etc. gegeben. Die Kommunikation mit Roberto ist super, er meldet sich sofort bei Fragen etc. und Wir freuen und schon auf unseren nächsten Besuch."
56,2021-06-05,Henryka,Sind jetzt das zweite mal bei Roberto gewesen und sicher nicht das letzte mal! Wir fühlen uns im Apartament sehr wohl. Die Lage ist direkt am Monte Brione und mit dem Auto ist man in 5 min. in der Stadt. Die Wohnung ist sehr sauber und die Sonne scheint bis abends auf die große Terrasse. Die Kommunikation ist sehr gut und sehr schnell. Roberto ist sehr hilfsbereit! Danke und bis bald!
57,2021-05-16,Stefania,"L'appartamento è ben posizionato rispetto alle principali ciclabili del Garda, a neanche un km dal centro di Riva, ottimo perchè in zona tranquilla e silenziosa. Pulizia ottima al pari di un hotel stellato, comodità della cucina e del letto. La terrazza è un plus che regala sensazionali viste sulle montagne trentine. Roberto e la sua famiglia sono stati gentilissimi! Sicuramente torneremo."
58,2021-01-18,Alessandro,Assolutamente perfetto... Accoglienza squisita... Appartamento sapientemente ristrutturato ed arredato con gusto... Da consigliare
59,2021-01-12,Leonie,We had a very nice stay with Roberto.
60,2020-10-25,Anna,"Hell, sauber und auch für kühlere Tage, durch eine super Heizung, top geeignet"
61,2020-10-11,Tanja,The Appartement was really nice and clean! Very bright! Communication was easy! Very positive
62,2020-10-08,Magdalena,"Wspaniałe miejsce do wypoczynku. Piękne widoki na góry z ogromnego tarasu. Mieszkanie bardzo czyste i zadbane. Świetna lokalizacja, do tego w ramach wynajmu dostęp do rowerów bardzo ułatwił nasz pobyt. Chętnie bym tam wróciła, lub zamieszkała na stałe. Polecam serdecznie! :)"
63,2020-10-03,Barbara,"Diese Unterkunft ist jedenfalls zu empfehlen! Die Gastgeber sind äußerst freundlich und zuvorkommend! Die Unterkunft ist sehr schön und sauber, modern und gemütlich! Jederzeit wieder! Danke an Roberto und Nonna"
64,2020-09-29,Manfred,"Robertos Wohnung ist prima ausgestattet, gepflegt und super-sauber. Es fehlt nichts. Die wunderbare Sonnenterasse lädt zu längerem Aufenthalt ein. Entspannung pur ist vorprogrammiert. Nicht weit von See und Riva del Garda Zentrum entfernt, außerdem ca. 1 km bis zu einem größeren Einkaufszentrum hat die Wohnung eine ideale Lage, ist außerdem sehr ruhig gelegen."
65,2020-09-08,Stefan,"Die große Wohnung liegt wunderschön im Norden von Riva. Wir haben unsere Tage dort sehr genossen. Mit den beiden älteren Rädern, die wir netterweise nutzen durften, waren wir in wenigen Minuten am See. Auch die Altstadt von Riva war so schnell zu erreichen. Die Lage des Hauses ist wunderbar, ruhig, mit einem großen Garten und umgeben von Olivenbaum-Plantagen. Für uns war es ein perfekter Ort, um von dort unsere Ausflüge zu starten. Und wir haben es geliebt, auf der großen Terrasse zu frühstücken und unsere Abende zu verbringen."
66,2020-09-03,Martin,"Roberto und Federica sind tolle Gastgeber. Wir haben den Aufenthalt in ihrer Wohnung sehr genossen - schöne Terrasse, großes Haus, Parkplatz direkt vor der Tür, großer Garten. Die Wohnung befindet sich in einem ruhigen Viertel, abseits der touristischen Massen. Wir haben die Ruhe genossen. An den See braucht man zu Fuß ca. 17 Minuten, in die Altstadt von Riva ca 25. Mit dem Fahrrad geht es erheblich schneller. Federica hat uns sogar zwei Stadträder geliehen ... in Wurfweite der Wohnung gibt es einen kleinen Lebensmittelladen, der Brötchen und Getränke führt. Die ebenfalls ums Eck liegende Trattoria d‘Allessandro ist unserer Meinung das beste Restaurant in Riva - ehrliche und authentische Küche mit leckeren Weinen zu fairen Preisen. Ganz abseits des touristischen Trubels in der hektischen Altstadt. Alles in allem waren wir rundum happy bei Federica und Roberto - wir kommen bestimmt wieder! Arrivederci :)"
67,2020-08-31,Henryka,Wir haben uns bei Roberto und seiner Familie sehr wohl gefühlt und die Kommunikation war problemlos. Die Unterkunft ist super sauber und komfortable. Unser Highlight war die Terasse und die tolle Lage. Mit dem Hund haben wir schöne Spaziergänge in der Umgebung gemacht. Wir kommen gerne wieder :)
68,2020-08-17,Lavinia,"We loved it! The apartment is nice and the terrace is beautiful. We really enjoyed having breakfast and dinner outside. It’s a 10-20min walk from the apartment to the city center of Riva, which is perfect because you‘re living in a quiet area but still close to the restaurants and the lake. Roberto and his wife were great hosts! Whenever we had a question, Roberto answered immediately and helped us. 10 out of 10 would recommend :)"
69,2020-08-14,Sahrone,The stay was so great! Airconditioning seemed broken but roberto literally came immediately to help out and fix it. So great!! The appartement was really nice and we LOVED the location! So many nice restaurants and beautiful places near it.
70,2020-08-08,Eva,"Wir haben unseren Aufenthalt bei Roberto sehr genossen. Die Wohnung ist wie beschrieben in einem wunderschönen Haus mit Garten und toller Terrasse gelegen. Alles war sauber, modern und geschmackvoll gestaltet. Herzstück ist die Terrasse und der tolle Garten (wir durften uns an Tomaten und Zitronen bedienen). Gute Ausstattung. Die Lage ist ruhig, zu Fuß einen etwas weiteren Spaziergang vom See (ca 17min) und Altstadt (35min) entfernt. Wir wurden wieder buchen :)"
71,2020-07-01,Liz,"Thank u so much for the comfortable accommodation. It was very clean, we had everything we needed. Roberto is super friendly and his mother is super sweet and courteous. We had a great view every morning at the breakfast from the great terrace. We would come back at any time."
72,2020-06-21,Irina,"Robertos place was great, ein super Ausgangspunkt für tolle Ausflüge, mit dem Rad erreicht man alles sehr schnell und lebt in einer gemütlichen Wohnung in familiärer und landschaftlich toller Umgebung, die Terasse ist ein Highlight. Wir kommen gerne wieder!"
73,2020-06-15,Mats,L'ospitalità di Roberto é 10! Sempre a disposizione per qualsiasi bisogno di aiuto o informazioni.
74,2020-05-25,Marco,"Ottima casa, Tutto ok."
75,2020-02-02,Tatiana,"Мы приехали поздно вечером. Нас встретила сестра Роберто Франческа - очень приятная и дружелюбная. Все нам показала, рассказала, передала ключи. Квартира просторная, чистая, с большой террасой с очуменным видом на горы. Просто дух захватывает. Сначала не нашли регулировку обогревателя и было прохладно. Потом включили на более теплый режим и стало комфортно и уютно! Мы были всем довольны! Спасибо!!"
76,2020-01-06,Alessandro,"appartamento comodo, ben riscaldato per l'inverno, pulito."
77,2020-01-01,Angelica,"Io ed il mio ragazzo ci siamo trovati benissimo nell'appartamento di Roberto. Pulito, luminoso, accogliente, in ottima posizione per visitare la zona e dotato di tutto il necessario per il soggiorno. Sua mamma ci ha accolti con grande gentilezza. Consigliamo assolutamente il soggiorno!"
78,2019-12-27,Elisabet,"Apartamento moderno en un paisaje impresionante. Hemos pasado las navidades allí y nos encontramos con unos cuantos toques de decoración navideña que nos hizo sentir en un ambiente más acogedor de lo que esperábamos. Además, tanto el baño como en la cocina están perfectamente equipados. Las vistas son increíbles, permiten apreciar el esplendor de las montañas de Riva. Tanto Roberto como su familia son encantadores. Un lugar perfecto para desconectar de la ciudad cuando no pasas las fiestas en familia."
79,2019-12-09,Guest,"L'appartamento è in zona Sant'Alessandro, al secondo piano di una bella palazzina. Comodo anche il parcheggio fronte casa. Appartamento luminoso, curato e ben equipaggiato. L'accoglienza è stata ottima!"
80,2019-11-25,Mark,Roberto's apartment is excellent and spotlessly clean. It is very quiet and about a 30 min flat walk to the old part of Riva del Garda. The cooking facilities are good and we spent a lot of time in the apartment. The terrace is lovely.
81,2019-11-16,Gabriele,La casa di Roberto è molto accogliente e la vista sulle montagne che circondano Riva è davvero molto bella. Risposte puntuali e grande cordialità sono il punto di forza di una soluzione che si presta molto bene sia a chi cerca un luogo per le vacanze che per soggiorni di lavoro.
82,2019-11-06,Polina,"Из этого дома совершенно не хотелось уезжать, всё было прекрасно. Хочется отметить состояние и оснащённость кухни - рай для любителя готовить самостоятельно 🖤 такое редко встретишь. Идеальный, удобный, тёплый дом. Очень благодарны за приём, спасибо, Роберто!"
83,2019-10-29,Anastasia,"The apartment is located in a very nice, quiet neighborhood, it was also very clean and we really enjoyed the modern style of it, not to mention the amazing view from the balcony! We would definitely recommend this place! Thank you Roberto!"
84,2019-10-26,Julia,"It was our second time staying at Robertos place and once more it und was fantastic. The apartment is very spacy, with a huge balcony, absolutely clean and equipped with everything you need to spend a relaxed time in Riva! We recommend this place for 100%!!"
85,2019-10-12,Anne,"Abseits der Touristenmassen kann man in der sauberen Wohnung und besonders auf der großen Terrasse nach einer Besichtigungstour gut relaxen. Wir sind zum See ca. 20 Minuten und zur Innenstadt gut 30 Minuten gelaufen. Beim Haus sind ausreichend Parkplätze. Nachts ist es in der Nachbarschaft sehr ruhig, offene Fenster sind kein Problem. Roberto kümmert sich vorbildlich, ist stets erreichbar und antwortet umgehend."
86,2019-10-05,Henning,"Eine sehr schöne und saubere Wohnung, die genau der Beschreibung entspricht. Das Highlight ist natürlich die schöne Dachterrasse. Ein idealer Ausgangspunkt, um Riva und den nördlichen Gardasee zu erkunden, der Weg zum Hafen ist zu Fuß allerdings etwas weit. Wir haben uns in der Wohnung sehr wohl gefühlt."
87,2019-09-20,Ahmed,Thanks Roberto for your hosting. It was a great staying there. The apartment was very clean and modern. I liked the apartment and the city too. Certainly will be repeated Best regards Ahmed
88,2019-09-17,Manfred,"Robertos Wohnung ist wunderbar hell, ruhig gelegen und verfügt über einen großen Balkon mit tollem Bluck auf die Dolomiten. In der Ausstattung fehlt nichts, man fühlt sich ""zu Hause"". Der Weg in die Stadt dauert fußläufiger ca. 45 Minuten. Wir empfehlen, die Strecke mit einem Rad zurückzulegen, geht schneller. Das Radwegenetz ist toll ausgebaut. Wir kommen gern wieder."
89,2019-09-13,Birgit,Tolle Ferienwohnung in ruhiger Lage und schöner Umgebung. Nette Gastgeber die außerdem perfekt deutsch sprechen.
90,2019-09-04,Karina,Трудно забыть это место — все было прекрасно!
91,2019-09-02,Eyal,"Had great time at the apartment, great view, lot of parking sites, very clean and cosy. Had great communication with robberto which gave us lot of tips about the event in Riva."
92,2019-08-31,Dmitriy,"Alles hat wunderbar funktioniert. Unser Urlaub wurde durch nichts getrübt, gerne wieder."
93,2019-08-24,Richard,"Airbnb at its very best. A wonderful house, each suite it’s own area. Beautifully clean, very well lit, spacious, well decorated, plenty of amenities, well maintained, friendly and very helpful host - all absolutely perfect. The jewel in the crown - the balcony with plenty of sun and a great view. Without a doubt would return to if we visit this area of the world again."
94,2019-08-21,Daniel,Eine Super Unterkunft absolut zu empfehlen. Alles Bestens uns super Sauber...
95,2019-08-12,Tobias,"Sehr schöne und moderne Unterkunft! Die Lage ist auch top, knapp 20min zu Fuß zum See und ruhig gelegen. Uns hat es sehr gut gefallen, wir kommen gerne wieder!"
96,2019-08-10,Anna,"Die schönste, die gemütlichste, die sauberste, die ruhigste und die modernste Unterkunft mit freundlichen und Lieben Vermietern die ich bisher über Airbnb hatte. Wir waren zum zweiten Mal da und nächstes Jahr auf jeden Fall wieder."
97,2019-08-04,Antonie,We loved the place. It looked great and was very nice. The terrace with the sun shield was great and we spent most time there. It also made it possible to stay there during the rain.
98,2019-08-02,Arenda,"Heel mooi appartement, prijs kwaliteit verhouding is goed. Erg modern appartement. Alleen een beetje verlopen naar het meer. Er is voldoende parkeer gelegenheid."
99,2019-07-29,Nicholas,"We stayed in this apartment for 4 weeks in July '19 and had a brilliant time. The main room of the apartment has a very well stocked kitchen with everything that we needed, even down to juicer, coffee machine, loads of pots and pans, everything. There is a small lounge area at the end with a TV and windows to the front and side, the sofa can be a sofa bed which is comfy enough as a bed. We didn't watch TV, but the wifi is good enough to stream video. The main room is large and very bright with two windows and three doors onto the terrace, although there are excellent shutters if you want it dark as well. There is aircon in the lounge that works really well on those especially hot days, although the weather in Riva is a lot milder than further south, more like 28c-33c Max most days. You do get a lot of thunderstorms though as it is in the mountains. By far my favourite part of the apartment is the huge terrace that looks out down the valley, you can't see the lake as it is probably 1.5km away but it is fabulous view. They have a flexible sail over some of the terrace that keeps the sun off and means you can use it come rain or shine. There are mosquitoes in Riva (like everywhere in Italy) so take some spray and use it in the evening. The bedroom is nice and big, with two singles pushed together as a double, you could have it as either, there is a moderate amount of storage although it was not an issue. The bathroom comes off the lounge and has a lovely dual head shower which works well as well as everything else you expect. Plenty of hot water. As a location, you probably need a car, it is 15 minutes to the lakeside where there are shops and restaurants, but another 25 mins from there into town. Alternatively you could walk into Riva on the roads in about 35 mins. There are buses from nearby but they are not frequent. There are two good local restaurants within a couple of hundred metres and a very useful little shop that is open from 7.30am-7pm (ish) and has excellent local bread of lots of varieties for breakfast on the terrace. They also sell milk, juice, drinks pasta etc but no fresh fruit or veg. There are two good supermarkets within a few miles. Riva is such a brilliant place, the best place to stay on Lake Garda, it has walks and cycling, sailing and windsurfing, canoeing on the lakes and in the river. You can walk on the flat in the valley or up the mountains. Day trips to Venice, Milan, Verona are possible if you don't mind a drive and the closer towns of Trento, Rovereto are worth a trip. The lake towns Malcesine etc can be visited by boat which is a fabulous day out. Roberto and family were all charming and very welcoming, they shared produce from the garden and leant us bikes, everything we needed for a perfect stay."
100,2019-06-30,Robert,"We haven't met Roberto in person, but his father greeted us in perfect German, showed us everything and gave us valuable recommendations for our stay. Communication with Roberto was fast and easy. The apartment is super nice, but we spend most of our time on the breathtaking sun terrace anyways! Strongly recommended!"
101,2019-06-28,Fredrik,Excelent place!
102,2019-06-26,Egidijus,Easy check in and check out. Sparkling clean apartments. All amenities that are required. Mountain view from the huge terrace. Also very spacious.
103,2019-06-20,Nadine,"Wir hatten eine super Zeit in der Ferienwohnung. Über die Klimaanlage waren wir positiv überrascht und schätzten diese sehr. Wir wurden super nett empfangen und mein Sohn durfte im Garten spielen, toben und Trampolin springen. Sogar in den Genuß von selbst angeboten Salat sind wir gekommen. Super fand ich auch, dass Kaffee, Filter und Salz, Pfeffer, Essig und Öl schon in der Küche waren. Das erleichtert den ersten Einkauf schon Mal vor Ort. Die Lage ist ein wenig Abseits vom Trubel, so dass wir uns schön erholen konnten. Nur leider viel zu kurz. Wir kommen nächstes Jahr gerne wieder."
104,2019-06-15,Stefanie,"Haben uns sehr wohl gefühlt, schöne Wohnung, gute Lage und sehr herzliche Gastgeber."
105,2019-06-09,Andrea,"Well situated accommodation a bit further away from the centre. What makes up for it is pure tranquility and lovely surrounding. We stayed in the apartment on the first floor with amazing large balcony where we enjoyed breakfast on the daily basis and an occasional glass of wine in the evening. The view from the balcony is spectacular! The apartment was very clean, spacious, modern. I can highly recommend it. Garden around the house is suitable for families with children. We were very satisfied and we will definitely return again. Not to forget to mention Graziana (Roberto’s sister) who welcomed us on arrival and made us feel like at home."
106,2019-05-21,Saara,Perfect place close to the centre to stay with an amazing views from the balcony! Roberto was very kind and helpful and there were everything we needed.
107,2019-05-18,Monique,"Nice apartment wirt lovely balcony in a quiet, residential area."
108,2019-05-12,Yuri,"Excellent fully equipped home with huge terrace with beautiful view on mountains. Very friendly owners, good quite location (only birds singing songs :) Adequate pricing. Overall, highly recommended."
109,2019-05-08,Teresa,"Wunderschöne Terasse, Einzigartiger Ausblick, schön Stilvoll eingerichtet, Sehr Sauber, alles was man braucht vorhanden"
